English,Turkish
part,parça
history,tarih
search,aramak
only,sadece
police,polis
thought,düşünce
help,yardım
request,rica etmek
kind,tür
month,ay
brother,Erkek kardeş
let,izin vermek
because,Çünkü
to put,koymak
no,HAYIR
leash,tasma
them,onlara
city,şehir
each,her biri
speak,konuşmak
come,Gelmek
should,olmalı
baby,Bebek
long time,uzun zaman
hours,saat
will,irade
while,sırasında
meet again,tekrar görüşmek üzere
any,herhangi
square,kare
speak,konuşmak
understood,anlaşıldı
knew,biliyordu
were,idiler
Warning,Uyarı
here is,İşte burada
could,olabilir
case,dava
give,vermek
type,tip
their,onların
given,verilen
train,tren
body,vücut
place,yer
eyes,gözler
way,yol
listen,Dinlemek
whose,kimin
find,bulmak
first,Birinci
lost,kayıp
hand,el
first,Birinci
side,taraf
power,güç
old,eskimiş
be,olmak
here,Burada
morning,Sabah
so much,bu kadar
child,çocuk
point,nokta
came,gelmek
after,sonrasında
sorry,Üzgünüm
come,Gelmek
in front of,önünde
towards,karşı
minutes,dakika
request,rica etmek
bedroom,yatak odası
placed,yerleştirildi
beautiful,Güzel
law,kanun
would like to,istemek
today,Bugün
husband,koca
cause,neden
finally,Sonunda
hope,umut
water,su
Wait,Beklemek
left,sol
new,yeni
job,iş
Stop,Durmak
would say,derdim
Earth,Toprak
account,hesap
given,verilen
far,uzak
end,son
believe,inanmak
sweetheart,Tatlım
large,büyük
rather,yerine
will have,sahip olacak
girls,kızlar
to play,oynamak
office,ofis
